DateTime,Vol,BidAsk,open,high,low,close
2022-12-07 00:00:00,69,-1,11589.5,11590.5,11588.0,11589.25
2022-12-07 00:02:00,86,19,11589.5,11592.5,11589.5,11591.5
2022-12-07 00:04:00,34,-6,11591.0,11591.75,11590.0,11590.5
2022-12-07 00:06:00,60,-5,11591.25,11592.75,11590.0,11590.0
2022-12-07 00:08:00,104,10,11590.5,11591.5,11587.25,11587.25
2022-12-07 00:10:00,57,2,11587.25,11591.5,11587.25,11590.75
2022-12-07 00:12:00,36,1,11591.25,11591.75,11590.0,11591.0
2022-12-07 00:14:00,112,12,11589.75,11593.0,11589.25,11592.25
2022-12-07 00:16:00,66,-1,11592.25,11592.75,11589.75,11591.75
2022-12-07 00:18:00,50,-12,11591.75,11592.5,11590.0,11591.75
2022-12-07 00:20:00,140,-28,11591.0,11591.0,11588.75,11589.25
2022-12-07 00:22:00,151,-100,11589.75,11590.25,11585.5,11586.75
2022-12-07 00:24:00,146,24,11586.75,11587.0,11584.75,11586.0
2022-12-07 00:26:00,264,56,11587.0,11592.75,11586.5,11588.25
2022-12-07 00:28:00,68,4,11588.25,11589.5,11587.75,11587.75
2022-12-07 00:30:00,79,7,11588.0,11592.25,11588.0,11591.25
2022-12-07 00:32:00,49,44,11591.25,11592.25,11590.5,11591.25
2022-12-07 00:34:00,22,-6,11591.5,11591.75,11590.75,11591.0
2022-12-07 00:36:00,141,20,11590.75,11592.0,11587.25,11589.75
2022-12-07 00:38:00,47,-11,11589.0,11589.25,11587.25,11588.25
2022-12-07 00:40:00,118,-59,11588.5,11589.0,11585.25,11587.0
2022-12-07 00:42:00,117,42,11587.0,11589.0,11586.25,11588.75
2022-12-07 00:44:00,49,-21,11589.0,11589.0,11586.25,11587.5
2022-12-07 00:46:00,64,-19,11587.75,11588.5,11586.0,11586.0
2022-12-07 00:48:00,128,-38,11585.75,11586.0,11584.25,11585.75
2022-12-07 00:50:00,252,-104,11585.25,11585.5,11580.0,11580.0
2022-12-07 00:52:00,131,-42,11580.0,11582.0,11576.75,11576.75
2022-12-07 00:54:00,192,-113,11577.0,11577.0,11574.0,11575.5
2022-12-07 00:56:00,99,-21,11575.25,11577.0,11573.25,11576.0
2022-12-07 00:58:00,191,187,11576.25,11581.5,11575.5,11576.75
2022-12-07 01:00:00,96,-17,11577.25,11579.0,11574.5,11575.0
2022-12-07 01:02:00,207,-124,11575.0,11576.5,11570.25,11571.25
2022-12-07 01:04:00,205,-74,11571.75,11571.75,11567.0,11567.5
2022-12-07 01:06:00,83,-7,11567.75,11568.75,11566.5,11567.25
2022-12-07 01:08:00,299,-105,11566.75,11567.25,11561.25,11562.5
2022-12-07 01:10:00,404,-103,11562.75,11562.75,11555.25,11556.0
2022-12-07 01:12:00,320,64,11556.0,11562.75,11554.25,11561.0
2022-12-07 01:14:00,179,44,11561.75,11564.0,11560.5,11562.75
2022-12-07 01:16:00,97,12,11562.75,11564.75,11561.75,11562.5
2022-12-07 01:18:00,133,43,11562.5,11565.75,11560.0,11565.75
2022-12-07 01:20:00,122,23,11565.25,11568.5,11565.0,11566.5
2022-12-07 01:22:00,56,18,11566.5,11568.25,11565.75,11568.25
2022-12-07 01:24:00,51,-7,11568.0,11568.75,11566.75,11568.0
2022-12-07 01:26:00,130,32,11568.25,11568.5,11565.0,11566.0
2022-12-07 01:28:00,46,2,11565.75,11567.75,11565.0,11567.25
2022-12-07 01:30:00,154,52,11566.75,11570.75,11564.0,11570.5
2022-12-07 01:32:00,72,-34,11570.0,11570.0,11565.75,11567.25
2022-12-07 01:34:00,44,9,11568.0,11570.75,11567.0,11569.75
2022-12-07 01:36:00,58,18,11570.0,11572.0,11568.5,11571.25
2022-12-07 01:38:00,50,-1,11571.0,11572.25,11570.5,11571.5
2022-12-07 01:40:00,58,4,11571.75,11571.75,11569.5,11570.25
2022-12-07 01:42:00,29,12,11570.5,11571.0,11569.75,11570.75
2022-12-07 01:44:00,79,-21,11570.5,11570.5,11568.25,11569.0
2022-12-07 01:46:00,64,-15,11569.5,11569.75,11567.25,11567.5
2022-12-07 01:48:00,73,5,11567.0,11567.5,11565.5,11567.5
2022-12-07 01:50:00,85,-1,11567.25,11567.25,11564.75,11565.0
2022-12-07 01:52:00,61,8,11565.75,11567.25,11564.5,11564.75
2022-12-07 01:54:00,63,6,11564.75,11567.5,11564.5,11566.0
2022-12-07 01:56:00,111,-23,11565.5,11566.0,11562.75,11563.75
2022-12-07 01:58:00,138,-31,11563.25,11563.5,11561.0,11562.75
2022-12-07 02:00:00,594,74,11563.0,11578.75,11561.5,11578.25
2022-12-07 02:02:00,348,62,11578.5,11585.0,11577.25,11581.25
2022-12-07 02:04:00,222,16,11581.0,11586.5,11579.5,11580.75
2022-12-07 02:06:00,303,24,11581.25,11585.0,11580.5,11581.0
2022-12-07 02:08:00,258,-72,11580.5,11580.5,11573.75,11573.75
2022-12-07 02:10:00,186,8,11574.0,11576.25,11572.25,11573.0
2022-12-07 02:12:00,513,-108,11572.75,11572.75,11557.25,11559.75
2022-12-07 02:14:00,726,-110,11560.25,11561.25,11546.75,11553.0
2022-12-07 02:16:00,296,23,11552.25,11561.25,11552.25,11561.0
2022-12-07 02:18:00,214,-17,11561.25,11561.25,11555.25,11558.5
2022-12-07 02:20:00,266,44,11558.75,11564.25,11557.25,11561.5
2022-12-07 02:22:00,98,1,11561.0,11564.5,11560.5,11563.0
2022-12-07 02:24:00,241,38,11564.0,11566.75,11558.5,11565.5
2022-12-07 02:26:00,266,36,11565.5,11573.75,11565.25,11570.75
2022-12-07 02:28:00,220,19,11569.75,11574.75,11568.0,11571.25
2022-12-07 02:30:00,268,-17,11571.5,11576.0,11567.0,11569.5
2022-12-07 02:32:00,187,43,11569.25,11571.5,11566.5,11571.5
2022-12-07 02:34:00,194,-13,11571.0,11578.75,11571.0,11575.0
2022-12-07 02:36:00,135,-8,11574.75,11575.5,11570.75,11572.0
2022-12-07 02:38:00,183,-24,11571.25,11571.75,11566.75,11569.0
2022-12-07 02:40:00,178,-57,11568.0,11572.0,11563.25,11563.25
2022-12-07 02:42:00,205,1,11563.25,11564.5,11560.5,11561.75
2022-12-07 02:44:00,79,1,11561.75,11565.25,11560.5,11562.25
2022-12-07 02:46:00,107,33,11562.0,11569.0,11562.0,11568.25
2022-12-07 02:48:00,92,-12,11568.0,11568.25,11564.5,11566.25
2022-12-07 02:50:00,949,-495,11567.0,11567.5,11551.25,11552.25
2022-12-07 02:52:00,543,-49,11553.5,11555.0,11548.5,11549.0
2022-12-07 02:54:00,304,8,11549.0,11557.25,11549.0,11556.0
2022-12-07 02:56:00,224,-19,11555.75,11560.5,11553.5,11557.25
2022-12-07 02:58:00,180,-8,11556.75,11560.5,11554.5,11556.25
2022-12-07 03:00:00,724,134,11555.25,11565.75,11550.25,11559.75
2022-12-07 03:02:00,324,75,11560.0,11566.5,11558.75,11565.0
2022-12-07 03:04:00,461,135,11565.25,11570.5,11562.0,11564.75
2022-12-07 03:06:00,377,-38,11564.5,11572.0,11563.0,11563.5
2022-12-07 03:08:00,422,-75,11562.75,11567.25,11551.25,11551.25
2022-12-07 03:10:00,619,-59,11551.5,11556.0,11543.75,11549.25
2022-12-07 03:12:00,389,34,11549.0,11561.75,11546.75,11561.75
2022-12-07 03:14:00,437,13,11561.75,11565.0,11556.5,11562.5
2022-12-07 03:16:00,231,7,11562.25,11567.0,11558.25,11567.0
2022-12-07 03:18:00,269,25,11567.0,11570.75,11564.5,11565.25
2022-12-07 03:20:00,209,-3,11565.5,11568.75,11562.0,11566.75
2022-12-07 03:22:00,146,-29,11567.0,11567.75,11561.5,11562.75
2022-12-07 03:24:00,260,-67,11562.0,11563.0,11556.25,11558.0
2022-12-07 03:26:00,251,69,11558.0,11563.0,11555.5,11562.0
2022-12-07 03:28:00,296,48,11562.5,11571.75,11562.5,11567.25
2022-12-07 03:30:00,243,-52,11567.25,11568.0,11563.25,11564.0
2022-12-07 03:32:00,375,-98,11563.25,11563.5,11556.75,11563.25
2022-12-07 03:34:00,444,-208,11562.75,11563.5,11550.25,11552.0
2022-12-07 03:36:00,213,1,11552.0,11559.25,11552.0,11558.0
2022-12-07 03:38:00,352,-45,11558.5,11560.75,11552.25,11553.25
2022-12-07 03:40:00,398,-84,11553.75,11554.25,11547.0,11549.25
2022-12-07 03:42:00,383,-59,11548.5,11548.5,11541.0,11547.0
2022-12-07 03:44:00,306,-20,11547.25,11549.25,11542.0,11542.5
