DateTime,Vol,BidAsk,open,high,low,close
2023-01-03 00:00:00,123,14,3864.0,3865.0,3864.0,3864.5
2023-01-03 00:02:00,145,35,3864.5,3865.75,3864.25,3865.25
2023-01-03 00:04:00,84,16,3865.25,3866.0,3865.25,3866.0
2023-01-03 00:06:00,110,-8,3866.0,3866.0,3865.0,3865.25
2023-01-03 00:08:00,200,-6,3865.25,3865.75,3864.75,3865.25
2023-01-03 00:10:00,218,47,3865.25,3866.5,3865.25,3866.0
2023-01-03 00:12:00,616,200,3866.0,3868.0,3866.0,3867.5
2023-01-03 00:14:00,324,16,3867.5,3868.25,3867.25,3868.0
2023-01-03 00:16:00,386,-49,3867.75,3868.5,3866.25,3866.75
2023-01-03 00:18:00,84,-39,3866.5,3866.75,3866.0,3866.5
2023-01-03 00:20:00,108,-2,3866.25,3867.5,3866.25,3867.0
2023-01-03 00:22:00,218,-72,3867.0,3867.0,3865.5,3866.0
2023-01-03 00:24:00,116,-1,3866.0,3866.25,3865.5,3865.75
2023-01-03 00:26:00,143,-64,3865.75,3865.75,3864.75,3865.0
2023-01-03 00:28:00,180,-96,3865.0,3865.25,3864.5,3864.5
2023-01-03 00:30:00,223,40,3864.75,3866.25,3864.75,3865.75
2023-01-03 00:32:00,127,17,3865.75,3866.5,3865.5,3866.25
2023-01-03 00:34:00,79,0,3866.25,3866.25,3865.75,3865.75
2023-01-03 00:36:00,71,14,3866.0,3866.25,3865.5,3865.75
2023-01-03 00:38:00,2634,966,3865.5,3873.75,3865.5,3870.75
2023-01-03 00:40:00,364,6,3870.5,3871.0,3869.25,3870.25
2023-01-03 00:42:00,498,12,3870.5,3872.75,3870.25,3872.5
2023-01-03 00:44:00,425,2,3872.5,3873.25,3871.75,3873.25
2023-01-03 00:46:00,217,19,3873.25,3873.5,3872.25,3873.0
2023-01-03 00:48:00,326,-166,3873.0,3873.25,3871.25,3871.75
2023-01-03 00:50:00,217,-33,3871.75,3872.0,3871.25,3871.75
2023-01-03 00:52:00,253,-49,3871.5,3871.5,3870.25,3870.5
2023-01-03 00:54:00,147,30,3870.5,3872.0,3870.5,3871.75
2023-01-03 00:56:00,94,-16,3871.5,3871.5,3870.5,3871.5
2023-01-03 00:58:00,68,-10,3871.5,3871.5,3871.0,3871.5
2023-01-03 01:00:00,149,-18,3871.5,3871.5,3870.75,3870.75
2023-01-03 01:02:00,271,-81,3870.75,3870.75,3869.25,3869.75
2023-01-03 01:04:00,104,-17,3869.75,3870.25,3869.25,3869.25
2023-01-03 01:06:00,147,10,3869.5,3870.0,3868.75,3869.75
2023-01-03 01:08:00,227,49,3870.0,3871.0,3870.0,3870.75
2023-01-03 01:10:00,140,-7,3870.5,3870.75,3870.0,3870.25
2023-01-03 01:12:00,221,10,3870.25,3871.0,3869.75,3870.5
2023-01-03 01:14:00,273,24,3871.0,3871.5,3870.5,3871.5
2023-01-03 01:16:00,260,10,3871.5,3872.0,3871.0,3871.5
2023-01-03 01:18:00,177,28,3871.25,3872.0,3871.25,3871.5
2023-01-03 01:20:00,288,-20,3871.75,3872.0,3870.5,3872.0
2023-01-03 01:22:00,238,41,3872.25,3872.75,3871.75,3872.5
2023-01-03 01:24:00,226,15,3872.25,3872.75,3871.75,3872.0
2023-01-03 01:26:00,198,9,3871.75,3872.75,3871.75,3872.5
2023-01-03 01:28:00,345,84,3872.75,3874.0,3872.5,3873.0
2023-01-03 01:30:00,433,78,3873.25,3874.25,3873.0,3873.75
2023-01-03 01:32:00,266,-3,3873.75,3873.75,3872.25,3873.25
2023-01-03 01:34:00,147,-12,3873.0,3873.0,3872.25,3872.5
2023-01-03 01:36:00,456,-63,3872.25,3872.5,3870.0,3870.5
2023-01-03 01:38:00,611,-124,3870.5,3870.75,3867.25,3867.75
2023-01-03 01:40:00,271,23,3867.75,3869.0,3867.5,3868.0
2023-01-03 01:42:00,157,-29,3868.25,3868.5,3867.5,3867.75
2023-01-03 01:44:00,295,-69,3867.75,3867.75,3866.25,3866.25
2023-01-03 01:46:00,241,15,3866.25,3867.75,3866.25,3867.25
2023-01-03 01:48:00,252,25,3867.0,3868.25,3866.75,3867.25
2023-01-03 01:50:00,144,-24,3867.25,3868.0,3867.0,3867.5
2023-01-03 01:52:00,248,-28,3867.5,3867.75,3866.75,3867.25
2023-01-03 01:54:00,252,61,3867.5,3868.25,3867.25,3868.25
2023-01-03 01:56:00,237,69,3868.25,3869.0,3868.0,3869.0
2023-01-03 01:58:00,353,58,3869.0,3870.5,3868.25,3870.5
2023-01-03 02:00:00,1198,-28,3870.25,3872.75,3869.5,3870.75
2023-01-03 02:02:00,735,-208,3871.0,3872.0,3867.75,3868.25
2023-01-03 02:04:00,367,-10,3868.5,3868.75,3866.5,3867.5
2023-01-03 02:06:00,388,-42,3867.5,3867.5,3866.0,3867.0
2023-01-03 02:08:00,239,-22,3867.0,3867.25,3865.75,3866.75
2023-01-03 02:10:00,246,-10,3866.75,3867.5,3865.75,3867.0
2023-01-03 02:12:00,179,72,3867.0,3868.25,3866.75,3868.0
2023-01-03 02:14:00,207,49,3868.0,3868.75,3867.0,3868.75
2023-01-03 02:16:00,184,-18,3868.75,3869.25,3868.25,3868.75
2023-01-03 02:18:00,326,10,3869.0,3870.25,3868.25,3869.5
2023-01-03 02:20:00,270,-96,3869.5,3869.5,3867.25,3867.25
2023-01-03 02:22:00,267,-2,3867.5,3869.0,3867.5,3868.0
2023-01-03 02:24:00,232,34,3867.75,3870.0,3867.25,3869.5
2023-01-03 02:26:00,427,8,3869.5,3871.25,3868.25,3871.0
2023-01-03 02:28:00,362,-23,3871.25,3871.75,3870.5,3871.5
2023-01-03 02:30:00,396,54,3871.5,3872.5,3871.0,3871.75
2023-01-03 02:32:00,370,60,3871.75,3873.25,3871.25,3873.0
2023-01-03 02:34:00,370,27,3873.0,3873.75,3872.25,3873.5
2023-01-03 02:36:00,326,-2,3873.5,3873.75,3872.0,3872.25
2023-01-03 02:38:00,338,25,3872.25,3872.75,3871.5,3872.25
2023-01-03 02:40:00,1596,141,3872.5,3876.0,3871.0,3875.5
2023-01-03 02:42:00,1407,85,3875.25,3877.5,3875.0,3876.25
2023-01-03 02:44:00,454,20,3876.25,3878.0,3876.0,3877.75
2023-01-03 02:46:00,541,-66,3877.75,3877.75,3875.5,3875.75
2023-01-03 02:48:00,596,55,3875.5,3876.75,3875.0,3876.75
2023-01-03 02:50:00,543,-1,3876.5,3877.25,3875.0,3877.0
2023-01-03 02:52:00,709,58,3877.0,3878.25,3876.5,3877.75
2023-01-03 02:54:00,548,61,3877.75,3879.0,3876.75,3878.5
2023-01-03 02:56:00,924,-105,3878.5,3878.75,3876.5,3878.0
2023-01-03 02:58:00,1588,82,3878.0,3882.0,3877.75,3881.75
2023-01-03 03:00:00,3825,484,3881.5,3887.5,3881.0,3886.0
2023-01-03 03:02:00,2324,230,3885.75,3888.5,3884.75,3885.25
2023-01-03 03:04:00,1830,-225,3885.5,3885.5,3882.25,3883.75
2023-01-03 03:06:00,891,-31,3884.0,3885.25,3883.0,3883.25
2023-01-03 03:08:00,898,-14,3883.25,3883.25,3880.25,3881.5
2023-01-03 03:10:00,859,57,3881.75,3882.75,3880.75,3882.0
2023-01-03 03:12:00,1402,-263,3882.0,3883.0,3877.5,3878.25
2023-01-03 03:14:00,1072,188,3878.25,3880.0,3877.5,3879.0
2023-01-03 03:16:00,883,20,3879.25,3880.5,3878.5,3880.0
2023-01-03 03:18:00,952,133,3880.25,3882.5,3880.25,3882.0
2023-01-03 03:20:00,1465,218,3882.0,3884.25,3881.75,3882.5
2023-01-03 03:22:00,842,-22,3882.5,3883.0,3881.5,3882.75
2023-01-03 03:24:00,1014,-108,3882.75,3884.25,3882.5,3883.75
2023-01-03 03:26:00,1478,106,3883.5,3887.5,3883.5,3886.75
2023-01-03 03:28:00,941,-108,3886.5,3887.5,3884.75,3887.0
2023-01-03 03:30:00,1160,17,3887.0,3888.0,3885.25,3886.5
2023-01-03 03:32:00,950,23,3886.5,3887.75,3886.0,3886.5
2023-01-03 03:34:00,1175,-101,3886.75,3887.75,3885.5,3885.75
2023-01-03 03:36:00,2452,505,3886.0,3892.75,3886.0,3892.75
2023-01-03 03:38:00,2411,-13,3892.5,3896.5,3891.5,3893.75
2023-01-03 03:40:00,1556,8,3893.75,3895.0,3892.25,3893.5
2023-01-03 03:42:00,966,-93,3893.5,3894.0,3891.5,3893.25
2023-01-03 03:44:00,1431,15,3893.25,3896.25,3892.25,3894.5
2023-01-03 03:46:00,644,52,3894.75,3896.0,3893.75,3895.75
2023-01-03 03:48:00,605,44,3895.75,3896.0,3894.75,3895.5
2023-01-03 03:50:00,1023,117,3895.5,3897.0,3894.75,3896.5
2023-01-03 03:52:00,763,-58,3896.5,3896.75,3894.25,3894.75
