DateTime,open,high,low,close,openScl,highScl,lowScl,closeScl,Vol,BidAsk,vwap,vwapS
2022-12-01 04:20:00,4075.5,4077.25,4075.5,4076.75,-0.49281320643268317,-0.32576614268693227,-0.49281320643268317,-0.37349387518571825,782,42,4084.217086812717,0.33928036869941447
2022-12-01 04:22:00,4076.75,4077.5,4075.25,4077.25,-0.37349387518571825,-0.3019022764375393,-0.5166770726820762,-0.32576614268693227,615,-57,4084.1568993273513,0.33353514429681846
2022-12-01 04:24:00,4077.25,4078.0,4076.0,4077.75,-0.32576614268693227,-0.25417454393875333,-0.4450854739338972,-0.2780384101881463,657,31,4084.0986965886023,0.3279793748053819
2022-12-01 04:26:00,4077.75,4078.0,4074.5,4075.75,-0.2780384101881463,-0.25417454393875333,-0.5882686714302552,-0.4689493401832902,828,-6,4084.019071015487,0.3203786786979811
2022-12-01 04:28:00,4076.0,4078.0,4076.0,4077.75,-0.4450854739338972,-0.25417454393875333,-0.4450854739338972,-0.2780384101881463,527,50,4083.974039175584,0.31608014348033286
2022-12-01 04:30:00,4077.75,4078.5,4077.0,4077.0,-0.2780384101881463,-0.20644681143996735,-0.3496300089363253,-0.3496300089363253,415,19,4083.942752368032,0.31309364671717943
2022-12-01 04:32:00,4077.0,4077.75,4076.0,4077.5,-0.3496300089363253,-0.2780384101881463,-0.4450854739338972,-0.3019022764375393,782,-76,4083.8764338852893,0.30676318510901346
2022-12-01 04:34:00,4077.75,4077.75,4076.0,4076.5,-0.2780384101881463,-0.2780384101881463,-0.4450854739338972,-0.39735774143511127,330,-51,4083.8488197681368,0.304127266715729
2022-12-01 04:36:00,4076.75,4076.75,4074.5,4074.5,-0.37349387518571825,-0.37349387518571825,-0.5882686714302552,-0.5882686714302552,687,-19,4083.781845312185,0.2977341888799087
2022-12-01 04:38:00,4074.75,4075.0,4072.0,4073.0,-0.5644048051808621,-0.5405409389314692,-0.826907333924185,-0.7314518689266131,1030,-139,4083.657818227599,0.28589512584845234
2022-12-01 04:40:00,4073.0,4075.0,4072.75,4073.75,-0.7314518689266131,-0.5405409389314692,-0.755315735176006,-0.6598602701784341,1363,-59,4083.504112391931,0.27122306383190264
2022-12-01 04:42:00,4073.75,4074.25,4072.75,4074.0,-0.6598602701784341,-0.6121325376796481,-0.755315735176006,-0.6359964039290411,986,-131,4083.3916835734476,0.26049111868445923
2022-12-01 04:44:00,4074.0,4075.75,4074.0,4074.75,-0.6359964039290411,-0.4689493401832902,-0.6359964039290411,-0.5644048051808621,656,60,4083.3284771246267,0.25445771772140996
2022-12-01 04:46:00,4074.5,4076.25,4074.5,4075.75,-0.5882686714302552,-0.42122160768450423,-0.5882686714302552,-0.4689493401832902,375,31,4083.294877319274,0.2512504326776488
2022-12-01 04:48:00,4075.75,4076.5,4075.0,4075.25,-0.4689493401832902,-0.39735774143511127,-0.5405409389314692,-0.5166770726820762,794,-65,4083.227988465962,0.24486552608156809
2022-12-01 04:50:00,4075.0,4076.0,4074.25,4075.75,-0.5405409389314692,-0.4450854739338972,-0.6121325376796481,-0.4689493401832902,412,72,4083.190883653985,0.2413236690006883
2022-12-01 04:52:00,4075.5,4076.0,4074.5,4074.75,-0.49281320643268317,-0.4450854739338972,-0.5882686714302552,-0.5644048051808621,1218,61,4083.0848205963307,0.23119937051323222
2022-12-01 04:54:00,4074.5,4077.25,4073.5,4077.0,-0.5882686714302552,-0.32576614268693227,-0.6837241364278271,-0.3496300089363253,818,67,4083.016276940299,0.2246565039541156
2022-12-01 04:56:00,4076.75,4077.75,4076.0,4077.75,-0.37349387518571825,-0.2780384101881463,-0.4450854739338972,-0.2780384101881463,1035,28,4082.9479627917976,0.21813554514295458
2022-12-01 04:58:00,4077.5,4078.0,4076.75,4077.5,-0.3019022764375393,-0.25417454393875333,-0.37349387518571825,-0.3019022764375393,486,-2,4082.9190045974556,0.21537132723654248
2022-12-01 05:00:00,4077.75,4078.75,4077.25,4078.5,-0.2780384101881463,-0.18258294519057436,-0.32576614268693227,-0.20644681143996735,534,77,4082.891079477802,0.21270572195495116
