DateTime,Vol,BidAsk,open,high,low,close
2022-12-28 00:00:00,322,93,3858.75,3860.25,3858.75,3860.0
2022-12-28 00:02:00,113,-23,3859.75,3859.75,3858.75,3858.75
2022-12-28 00:04:00,113,8,3858.5,3859.5,3858.0,3859.25
2022-12-28 00:06:00,92,-5,3859.25,3859.25,3858.5,3859.0
2022-12-28 00:08:00,90,10,3859.0,3859.0,3858.5,3858.75
2022-12-28 00:10:00,113,-2,3859.0,3859.25,3858.25,3859.0
2022-12-28 00:12:00,40,-1,3859.0,3859.25,3858.75,3858.75
2022-12-28 00:14:00,84,-25,3858.75,3859.0,3858.0,3858.25
2022-12-28 00:16:00,147,-24,3858.25,3858.25,3857.5,3857.5
2022-12-28 00:18:00,237,-35,3857.25,3857.5,3856.5,3856.75
2022-12-28 00:20:00,318,-25,3856.75,3857.25,3856.0,3857.0
2022-12-28 00:22:00,20,8,3857.0,3857.25,3856.75,3857.25
2022-12-28 00:24:00,60,7,3857.25,3857.5,3857.25,3857.5
2022-12-28 00:26:00,76,5,3857.5,3857.75,3857.25,3857.75
2022-12-28 00:28:00,135,10,3858.0,3858.25,3857.25,3857.75
2022-12-28 00:30:00,60,-7,3857.75,3858.0,3857.25,3857.5
2022-12-28 00:32:00,82,-20,3857.25,3857.75,3857.0,3857.25
2022-12-28 00:34:00,58,-5,3857.25,3857.75,3857.25,3857.5
2022-12-28 00:36:00,50,-2,3857.5,3857.5,3857.0,3857.25
2022-12-28 00:38:00,299,57,3857.25,3857.25,3856.0,3856.5
2022-12-28 00:40:00,123,-19,3856.25,3856.75,3856.0,3856.75
2022-12-28 00:42:00,91,-37,3856.75,3856.75,3856.0,3856.0
2022-12-28 00:44:00,270,-1,3856.25,3856.25,3854.75,3854.75
2022-12-28 00:46:00,126,-2,3854.75,3855.25,3854.5,3855.0
2022-12-28 00:48:00,147,-61,3855.0,3855.25,3854.5,3854.75
2022-12-28 00:50:00,47,14,3855.0,3855.5,3854.75,3855.5
2022-12-28 00:52:00,76,-4,3855.25,3855.75,3855.0,3855.5
2022-12-28 00:54:00,87,-34,3855.5,3855.5,3854.75,3854.75
2022-12-28 00:56:00,79,-20,3854.75,3855.25,3854.5,3855.0
