DateTime,Vol,BidAsk,open,high,low,close
2022-11-28 00:00:00,234,-34,4006.75,4006.75,4005.75,4005.75
2022-11-28 00:02:00,606,-106,4006.0,4006.0,4004.25,4004.75
2022-11-28 00:04:00,436,-100,4004.75,4004.75,4003.25,4003.5
2022-11-28 00:06:00,756,-123,4003.5,4003.75,4002.0,4002.25
2022-11-28 00:08:00,255,2,4002.5,4003.0,4002.25,4002.75
2022-11-28 00:10:00,606,-107,4003.0,4003.0,4002.25,4002.5
2022-11-28 00:12:00,223,72,4002.5,4003.5,4002.5,4003.25
2022-11-28 00:14:00,373,16,4003.25,4003.75,4003.0,4003.5
2022-11-28 00:16:00,373,-105,4003.5,4003.5,4001.75,4001.75
2022-11-28 00:18:00,95,14,4001.75,4002.5,4001.75,4002.25
2022-11-28 00:20:00,160,7,4002.5,4003.25,4002.5,4002.75
2022-11-28 00:22:00,103,-8,4002.75,4003.25,4002.75,4003.0
2022-11-28 00:24:00,163,-40,4003.0,4003.0,4002.5,4002.5
2022-11-28 00:26:00,142,14,4002.5,4003.0,4002.25,4002.5
2022-11-28 00:28:00,468,-181,4002.75,4002.75,4001.0,4001.25
2022-11-28 00:30:00,1750,-423,4001.25,4001.25,3997.5,4001.0
2022-11-28 00:32:00,425,86,4001.25,4002.75,4001.0,4002.25
2022-11-28 00:34:00,352,107,4002.25,4003.75,4002.25,4003.5
2022-11-28 00:36:00,202,17,4003.75,4003.75,4003.25,4003.5
2022-11-28 00:38:00,154,-69,4003.5,4003.5,4002.5,4002.75
2022-11-28 00:40:00,165,12,4002.75,4003.25,4002.5,4002.75
2022-11-28 00:42:00,180,-5,4002.75,4003.0,4002.5,4002.75
2022-11-28 00:44:00,175,37,4002.75,4003.0,4002.5,4002.75
2022-11-28 00:46:00,241,-20,4002.75,4003.5,4002.75,4002.75
2022-11-28 00:48:00,207,-52,4002.75,4002.75,4002.0,4002.25
2022-11-28 00:50:00,110,-12,4002.5,4002.75,4002.25,4002.25
2022-11-28 00:52:00,151,-29,4002.25,4002.75,4001.5,4001.75
2022-11-28 00:54:00,413,-80,4001.75,4002.0,4000.25,4000.5
2022-11-28 00:56:00,191,26,4000.5,4001.75,4000.5,4001.5
2022-11-28 00:58:00,326,85,4001.75,4002.75,4001.5,4002.5
2022-11-28 01:00:00,365,54,4002.75,4003.25,4002.25,4003.25
2022-11-28 01:02:00,901,-86,4003.25,4004.25,4002.0,4003.25
2022-11-28 01:04:00,590,59,4003.5,4004.25,4003.0,4003.25
2022-11-28 01:06:00,165,11,4003.0,4003.25,4002.5,4003.25
2022-11-28 01:08:00,158,18,4003.25,4004.0,4003.25,4004.0
2022-11-28 01:10:00,236,-5,4004.0,4004.5,4003.5,4003.75
2022-11-28 01:12:00,164,-21,4003.75,4004.5,4003.5,4003.75
2022-11-28 01:14:00,200,45,4003.5,4004.5,4003.5,4004.5
